"Selected Filters: All States | All Programs"
""
"Total Funding: $9,835,080,336"
"Number of Grants: 12,702"

"Grantee Name","Grant Number","Program Name","City","State","ZIP Code","County","Congressional District","Award Fiscal Year","Award Funding"
"1st Choice Healthcare, Inc.","H8GCS48238","FY 2023 Expanding COVID-19 Vaccination (H8G)","Corning","AR","72422-1716","Clay","AR01","2023","$218,461"
"1st Choice Healthcare, Inc.","H8FCS40935","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (H8F)","Corning","AR","72422-1716","Clay","AR01","2022","$65,500"
"1St Choice Healthcare, Inc.","H8FCS40935","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","Corning","AR","72422-1716","Clay","AR-01","2021","$3,602,500"
"1St Choice Healthcare, Inc.","H8LCS50928","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","Corning","AR","72422-1716","Clay","AR-01","2023","$38,762"
"1St Choice Healthcare, Inc.","H8GCS48238","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","Corning","AR","72422-1716","Clay","AR-01","2023","$27,500"
"1St Choice Healthcare, Inc.","H8DCS35406","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Corning","AR","72422-1716","Clay","AR-01","2020","$851,165"
"1St Choice Healthcare, Inc.","H8CCS34009","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","Corning","AR","72422-1716","Clay","AR-01","2020","$65,732"
"1St Choice Healthcare, Inc.","H8ECS38879","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","Corning","AR","72422-1716","Clay","AR-01","2020","$387,229"
"1St Choice Healthcare, Inc.","C8ECS44639","FY 2021 American Rescue Plan – Health Center Construction and Capital Improvements (ARP-Capital - C8E)","Corning","AR","72422-1716","Clay","AR-01","2021","$711,860"
"219 Health Network Inc","H8GCS48921","FY 2023 Expanding COVID-19 Vaccination (ECV) - distribution of remaining ECV funds (H8G)","East Chicago","IN","46312-3261","Lake","IN-01","2023","$27,500"
"219 Health Network Inc","H8LCS50640","FY 2023 COVID-19 Bridge Funding for Health Centers (H8L)","East Chicago","IN","46312-3261","Lake","IN-01","2023","$13,580"
"219 Health Network, Inc.","L1CCS39356","FY 2020 Health Center Program Look-Alikes:  Expanding Capacity for Coronavirus Testing (L1C)","East Chicago","IN","46312-3261","Lake","IN-01","2020","$256,566"
"219 Health Network, Inc.","H8GCS48921","FY 2023 Expanding COVID-19 Vaccination (H8G)","East Chicago","IN","46312-3261","Lake","IN01","2023","$169,465"
"219 Health Network, Inc.","L2CCS42374","FY 2021 American Rescue Plan - Funding for Look-Alikes (L2C)","East Chicago","IN","46312-3261","Lake","IN-01","2021","$1,737,908"
"3Rd Street Community Clinic","C8ECS44199","FY 2021 American Rescue Plan – Health Center Construction and Capital Improvements (ARP-Capital - C8E)","Mansfield","OH","44906-2633","Richland","OH-12","2021","$724,796"
"3Rd Street Community Clinic","H8CCS34886","FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C)","Mansfield","OH","44906-2633","Richland","OH-12","2020","$65,026"
"3Rd Street Community Clinic","H8DCS36664","FY 2020 Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)","Mansfield","OH","44906-2633","Richland","OH-12","2020","$848,960"
"3Rd Street Community Clinic","H8ECS38572","FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E)","Mansfield","OH","44906-2633","Richland","OH-12","2020","$404,869"
"3Rd Street Community Clinic","H8FCS41598","FY 2021 American Rescue Plan Act Funding for Health Centers (H8F)","Mansfield","OH","44906-2633","Richland","OH-12","2021","$3,604,000"
"3RD STREET COMMUNITY CLINIC","H8GCS47665","FY 2023 Expanding COVID-19 Vaccination (H8G)","MANSFIELD","OH","44906-2633","Richland","OH12","2023","$237,631"
"3RD STREET COMMUNITY CLINIC","H8FCS41598","FY 2022 American Rescue Plan Uniform Data System Patient-Level Submission (H8F)","Mansfield","OH","44906-2633","Richland","OH12","2022","$65,500"
"A+ Family Healthcare, Llc","C8ECS43876","FY 2021 American Rescue Plan – Health Center Construction and Capital Improvements (ARP-Capital - C8E)","Brownsville","KY","42210-9001","Edmonson","KY-02","2021","$513,563"
